"Part";"Value";"Device";"Package";"Description";"DIGIEKY#";"DIGIKEY";"DIGIKEY#";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PARTNUM";
"T4";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS138KCT-ND";"";"";"";"";"";
"T7";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS138KCT-ND";"";"";"";"";"";
"T8";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS138KCT-ND";"";"";"";"";"";
"T9";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS138KCT-ND";"";"";"";"";"";
"T10";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS138KCT-ND";"";"";"";"";"";
"T11";"MOSFET-NCHANNELSMD";"MOSFET-NCHANNELSMD";"SOT23-3";"";"";"";"BSS138KCT-ND";"";"";"";"";"";
"U$1";"INDUCTOR";"INDUCTOR";"CDRH127";"";"308-1333-1-ND";"308-1333-1-ND";"";"";"";"";"";"";
"U$2";"SWITCH_DPDT";"SWITCH_DPDT";"SWITCH_VERT_DPDT";"";"";"";"AS22AV-ND";"";"";"";"";"";
"U$3";"ESC_CONN";"ESC_CONN";"ESC_CONN";"";"";"";"";"";"";"";"";"";
"U$4";"ESC_CONN";"ESC_CONN";"ESC_CONN";"";"";"";"";"";"";"";"";"";
"U$5";"ESC_CONN";"ESC_CONN";"ESC_CONN";"";"";"";"";"";"";"";"";"";
"U$6";"ESC_CONN";"ESC_CONN";"ESC_CONN";"";"";"";"";"";"";"";"";"";
"U$9";"DIODE-SCHOTTKYBIG";"DIODE-SCHOTTKYBIG";"DO-214AB,SMC";"";"";"";"B540C-FDICT-ND";"";"";"";"";"";
"U$10";"TRANSISTOR_NPN_DPAK";"TRANSISTOR_NPN_DPAK";"DPAK";"";"";"";"497-12849-1-ND";"";"";"";"";"";
"U$11";"MAX3221-RS232";"MAX3221-RS232";"16-TSSOP";"";"";"";"296-19825-1-ND";"";"";"";"";"";
"U$12";"POWER_HOLES";"POWER_HOLES";"POWER_HOLES";"";"";"";"";"";"";"";"";"";
"U$13";"BATTERY50A";"BATTERY50A";"LIPO_POWER_50A";"";"";"";"";"";"";"";"";"";
"U$14";"M02_SCREW_0.1";"M02_SCREW_0.1";"SCREW_TERM_2POS";"";"";"";"A98333-ND";"";"";"";"";"";
"U$15";"MOSFET-PCHANNEL_SOT23-3";"MOSFET-PCHANNEL_SOT23-3";"SOT23-3";"";"";"";"BSS84CT-ND";"";"";"";"";"";
"U1";"LM5022";"LM5022";"MSOP-10";"";"";"";"";"";"";"";"";"LM5022MM/NOPBCT-ND";
"U2";"TPS5450";"TPS5450";"TPS5450";"";"";"296-23750-1-ND";"296-23750-1-ND";"";"";"";"";"";
"U3";"ATMEGA328-AU";"ATMEGA328-AU";"32-TQFP";"";"";"ATMEGA328-AU-ND";"ATMEGA328-AU-ND";"";"";"";"";"";
"U4";"REG_3V_8SOIC";"REG_3V_8SOIC";"8-SOIC";"";"";"296-2719-5-ND";"296-2719-5-ND";"";"";"";"";"";
